FROM_STATION,TO_STATION,FLOW
赤湾站,安托山站,3
长岭陂站,华侨城站,1
车公庙站,国贸站,814
购物公园站,布心站,94
西丽站,深大站,155
西乡站,横岗站,29
赤湾站,太安站,3
长龙站,临海站,5
赤湾站,大运站,1
西丽站,深圳北站,1918
购物公园站,布吉站,342
西乡站,桃园站,920
长龙站,湖贝站,842
车公庙站,固戍站,1097
长岭陂站,前海湾站,8
长龙站,兴东站,190
购物公园站,杨美站,122
车公庙站,大芬站,688
西丽站,留仙洞站,526
草埔站,东角头站,27
西乡站,海月站,44
赤湾站,市民中心站,12
长岭陂站,后瑞站,7
赤湾站,布吉站,16
草埔站,湖贝站,35
西丽站,登良站,204
购物公园站,桃园站,568
西乡站,深圳北站,596
车公庙站,大运站,89
长岭陂站,固戍站,34
长龙站,前海湾站,24
长岭陂站,通新岭站,6
长龙站,侨香站,50
草埔站,下水径站,150
购物公园站,木棉湾站,312
西乡站,洪浪北站,493
车公庙站,大学城站,218
西丽站,爱联站,76
赤湾站,岗厦北站,13
西乡站,海上世界站,35
草埔站,世界之窗站,82
购物公园站,机场东站,89
长龙站,六约站,89
车公庙站,大新站,743
西丽站,田贝站,70
长岭陂站,后海站,9
赤湾站,岗厦站,16
草埔站,上梅林站,82
购物公园站,晒布站,269
西丽站,灵芝站,1121
车公庙站,塘朗站,161
长龙站,侨城东站,31
长岭陂站,双龙站,26
西乡站,水贝站,11
赤湾站,宝安中心站,9
西丽站,燕南站,79
购物公园站,景田站,336
车公庙站,大剧院站,1358
草埔站,上水径站,75
赤湾站,少年宫站,12
长龙站,侨城北站,43
长岭陂站,吉祥站,10
西乡站,永湖站,9
赤湾站,宝华站,2
长龙站,会展中心站,196
车公庙站,塘坑站,259
西丽站,湾厦站,47
购物公园站,新秀站,138
西乡站,水湾站,50
草埔站,上塘站,58
长岭陂站,南联站,11
赤湾站,怡景站,3
西丽站,白石龙站,239
长岭陂站,坂田站,285
草埔站,丹竹头站,912
购物公园站,民乐站,425
长龙站,华强北站,803
车公庙站,安托山站,142
西乡站,深康站,7
长岭陂站,国贸站,7
购物公园站,横岗站,181
车公庙站,太安站,313
西乡站,深大站,3766
长龙站,华侨城站,9
西丽站,白石洲站,42
赤湾站,布心站,3
西丽站,百鸽笼站,184
车公庙站,宝体站,264
长岭陂站,坪洲站,57
草埔站,五和站,456
西乡站,清湖站,202
购物公园站,民治站,204
长龙站,华新站,239
赤湾站,新安站,4
赤湾站,机场东站,1
草埔站,六约站,314
西丽站,福田站,185
香梅北站,世界之窗站,206
车公庙站,岗厦站,1296
西乡站,田贝站,30
购物公园站,海上世界站,43
长龙站,后海站,130
长岭陂站,大新站,21
长岭陂站,大芬站,36
草埔站,兴东站,71
西乡站,留仙洞站,329
购物公园站,海月站,156
车公庙站,市民中心站,151
长龙站,后瑞站,46
西丽站,科学馆站,93
香梅北站,东角头站,48
赤湾站,杨美站,4
香梅北站,湖贝站,134
西丽站,科苑站,681
购物公园站,深圳北站,339
车公庙站,布吉站,707
长岭陂站,大运站,13
长龙站,固戍站,80
西乡站,登良站,36
赤湾站,桃园站,14
草埔站,前海湾站,11
赤湾站,横岗站,5
西丽站,竹子林站,102
长龙站,国贸站,287
车公庙站,布心站,200
西乡站,白石洲站,337
购物公园站,深大站,562
长岭陂站,太安站,14
草埔站,华侨城站,14
草埔站,会展中心站,220
香梅北站,上塘站,32
西丽站,益田站,165
购物公园站,水湾站,91
车公庙站,宝华站,46
长龙站,南联站,105
西乡站,湾厦站,21
长岭陂站,塘坑站,20
赤湾站,新秀站,3
西乡站,灵芝站,612
车公庙站,宝安中心站,299
草埔站,侨城东站,42
西丽站,石厦站,249
香梅北站,上梅林站,57
购物公园站,水贝站,99
长龙站,双龙站,184
长岭陂站,塘朗站,34
赤湾站,晒布站,3
草埔站,侨城北站,28
赤湾站,景田站,30
长岭陂站,大剧院站,20
西丽站,福民站,188
车公庙站,少年宫站,166
龙井站,莲花北站,2
龙城广场站,泥岗站,15
珠光站,莲花村站,17
龙华站,沙井站,89
沙尾站,太安站,177
上沙站,布心站,28
皇岗村站,国贸站,39
龙井站,竹子林站,14
农林站,横岗站,21
桃源村站,白石洲站,21
皇岗口岸站,华侨城站,11
西丽湖站,华强路站,10
深云站,深大站,32
茶光站,草埔站,15
华强路站,皇岗村站,9
龙胜站,红树湾南站,11
龙胜站,深湾站,1
桃源村站,白石龙站,20
上沙站,怡景站,42
珠光站,莲花西站,71
皇岗口岸站,华强北站,439
沙尾站,安托山站,164
深云站,深康站,11
农林站,民乐站,60
茶光站,香梅北站,16
皇岗村站,坂田站,12
龙华站,马安山站,40
龙井站,红山站,18
龙城广场站,园岭站,35
华强路站,皇岗口岸站,12
深云站,清湖站,37
农林站,民治站,110
龙胜站,深圳湾公园站,86
龙城广场站,红岭南站,28
西丽湖站,茶光站,110
皇岗口岸站,华新站,127
上沙站,新安站,29
桃源村站,百鸽笼站,10
龙华站,塘尾站,30
沙尾站,宝体站,31
龙井站,红岭站,16
茶光站,香蜜湖站,17
皇岗村站,坪洲站,21
珠光站,蛇口港站,17
沙尾站,大剧院站,309
西丽湖站,鲤鱼门站,14
农林站,景田站,222
皇岗口岸站,侨城北站,11
龙华站,向西村站,97
龙胜站,黄木岗站,69
桃源村站,燕南站,64
龙井站,福民站,55
茶光站,购物公园站,124
华强路站,桃源村站,42
珠光站,翠竹站,15
皇岗村站,吉祥站,9
上沙站,少年宫站,142
深云站,永湖站,5
龙城广场站,梅景站,16
皇岗村站,双龙站,10
西丽湖站,高新园站,89
华强路站,龙井站,25
农林站,晒布站,38
沙尾站,塘朗站,131
龙井站,石厦站,102
黄贝岭站,福永站,100
茶光站,西乡站,71
龙胜站,华强南站,94
桃源村站,灵芝站,123
皇岗口岸站,侨城东站,20
上沙站,宝安中心站,62
龙华站,人民南站,48
龙城广场站,香梅站,9
珠光站,罗湖站,35
上沙站,宝华站,35
桃源村站,湾厦站,31
龙华站,鹿丹村站,47
皇岗口岸站,会展中心站,226
茶光站,西丽站,149
龙胜站,赤尾站,106
深云站,水湾站,16
西丽湖站,香蜜站,10
珠光站,红树湾站,11
龙城广场站,下沙站,28
农林站,新秀站,35
皇岗村站,南联站,1
龙井站,益田站,52
华强路站,珠光站,38
黄贝岭站,桥头站,42
沙尾站,塘坑站,50
深云站,深圳北站,42
西丽湖站,龙胜站,23
龙井站,科苑站,85
华强路站,沙尾站,61
茶光站,长龙站,46
桃源村站,登良站,168
黄贝岭站,南山站,329
沙尾站,大运站,44
农林站,桃园站,32
龙胜站,洪湖站,41
龙华站,后亭站,27
上沙站,布吉站,74
龙城广场站,银湖站,13
皇岗村站,固戍站,16
珠光站,莲花北站,11
皇岗村站,后瑞站,2
黄贝岭站,宝安站,38
上沙站,市民中心站,151
华强路站,上沙站,93
桃源村站,留仙洞站,146
龙井站,科学馆站,21
沙尾站,大芬站,105
深云站,海月站,16
龙华站,松岗站,51
龙胜站,笋岗站,112
龙城广场站,孖岭站,13
农林站,杨美站,36
茶光站,长岭陂站,12
西丽湖站,龙城广场站,3
珠光站,荷坳站,16
皇岗口岸站,兴东站,17
黄贝岭站,碧海湾站,100
桃源村站,田贝站,36
皇岗村站,后海站,74
皇岗口岸站,六约站,24
龙井站,福田站,79
茶光站,车公庙站,424
龙胜站,红岭北站,306
华强路站,农林站,42
沙尾站,大新站,116
农林站,机场东站,5
龙城广场站,梅村站,9
西丽湖站,龙华站,25
上沙站,岗厦站,199
深云站,海上世界站,17
珠光站,老街站,72
龙华站,碧头站,29
珠光站,翻身站,151
沙尾站,大学城站,96
西丽湖站,黄贝岭站,28
农林站,木棉湾站,47
黄贝岭站,机场站,201
龙井站,福田口岸站,26
皇岗村站,通新岭站,26
龙华站,文锦站,30
皇岗口岸站,侨香站,22
龙城广场站,下梅林站,21
上沙站,岗厦北站,80
龙胜站,八卦岭站,121
茶光站,赤湾站,4
深云站,洪浪北站,17
华强路站,深云站,6
桃源村站,爱联站,9
龙城广场站,深湾站,1
桃源村站,碧头站,3
红树湾南站,世界之窗站,13
龙井站,碧海湾站,16
上沙站,农林站,591
红岭北站,大新站,39
皇岗村站,车公庙站,325
笋岗站,后海站,121
农林站,红岭北站,115
赤尾站,田贝站,258
沙尾站,龙华站,308
洪湖站,六约站,35
华强南站,海上世界站,2
黄木岗站,机场东站,5
八卦岭站,岗厦站,35
深云站,梅村站,6
农林站,红树湾南站,2
黄木岗站,横岗站,66
皇岗村站,草埔站,27
上沙站,皇岗村站,260
笋岗站,国贸站,68
八卦岭站,布心站,91
沙尾站,华强路站,34
红岭北站,太安站,296
赤尾站,白石洲站,30
桃源村站,沙井站,22
洪湖站,华侨城站,4
深云站,泥岗站,5
华强南站,深大站,14
洪湖站,前海湾站,2
红树湾南站,湖贝站,3
深云站,银湖站,3
八卦岭站,布吉站,180
龙井站,南山站,47
华强南站,深圳北站,153
沙尾站,龙胜站,285
上沙站,沙尾站,331
皇岗村站,长龙站,24
红岭北站,大运站,41
赤尾站,登良站,36
桃源村站,后亭站,12
黄木岗站,桃园站,32
农林站,洪湖站,50
笋岗站,固戍站,25
华强南站,清湖站,147
农林站,深圳湾公园站,59
赤尾站,百鸽笼站,64
沙尾站,茶光站,228
洪湖站,华新站,138
黄木岗站,民治站,43
红岭北站,宝体站,10
桃源村站,塘尾站,9
红树湾南站,五和站,14
皇岗村站,香蜜湖站,8
笋岗站,坪洲站,27
八卦岭站,新安站,5
深云站,红岭南站,2
皇岗村站,香梅北站,11
沙尾站,西丽湖站,128
农林站,深湾站,7
笋岗站,坂田站,193
上沙站,皇岗口岸站,271
洪湖站,华强北站,316
八卦岭站,怡景站,133
赤尾站,白石龙站,139
华强南站,深康站,18
黄木岗站,民乐站,19
深云站,园岭站,9
红树湾南站,丹竹头站,10
红岭北站,安托山站,15
桃源村站,马安山站,13
黄木岗站,景田站,50
赤尾站,燕南站,281
皇岗村站,购物公园站,88
农林站,黄木岗站,134
上沙站,桃源村站,149
八卦岭站,少年宫站,87
沙尾站,鲤鱼门站,82
深云站,梅景站,16
笋岗站,吉祥站,61
红岭北站,大剧院站,17
桃源村站,向西村站,19
洪湖站,侨城北站,16
华强南站,永湖站,16
红树湾南站,上水径站,1
深云站,下梅林站,18
黄木岗站,木棉湾站,92
八卦岭站,岗厦北站,73
沙尾站,黄贝岭站,167
笋岗站,通新岭站,84
洪湖站,侨香站,13
上沙站,深云站,58
农林站,八卦岭站,79
赤尾站,爱联站,18
华强南站,洪浪北站,35
红岭北站,大学城站,25
皇岗村站,赤湾站,5
红树湾南站,下水径站,5
龙井站,机场站,18
桃源村站,文锦站,3
华强南站,水湾站,62
沙尾站,香蜜站,26
洪湖站,会展中心站,60
皇岗村站,西丽站,96
