FROM_STATION,TO_STATION,FLOW
赤湾站,车公庙站,80
赤湾站,购物公园站,43
赤湾站,西丽站,44
赤湾站,西乡站,11
赤湾站,长龙站,11
赤湾站,草埔站,8
赤湾站,香梅北站,16
赤湾站,龙井站,9
赤湾站,龙城广场站,5
赤湾站,珠光站,16
赤湾站,龙华站,44
赤湾站,沙尾站,47
赤湾站,上沙站,27
赤湾站,皇岗村站,7
赤湾站,农林站,5
赤湾站,桃源村站,19
赤湾站,皇岗口岸站,1
赤湾站,西丽湖站,12
赤湾站,深云站,72
赤湾站,茶光站,7
赤湾站,华强路站,13
赤湾站,龙胜站,23
赤湾站,黄贝岭站,44
赤湾站,红岭北站,18
赤湾站,笋岗站,7
赤湾站,赤尾站,17
赤湾站,洪湖站,3
赤湾站,华强南站,5
赤湾站,黄木岗站,11
赤湾站,八卦岭站,7
赤湾站,下沙站,24
赤湾站,梅景站,29
赤湾站,香梅站,8
赤湾站,向西村站,1
赤湾站,下梅林站,17
赤湾站,松岗站,26
赤湾站,马安山站,18
赤湾站,梅村站,15
赤湾站,孖岭站,10
赤湾站,沙井站,23
赤湾站,后亭站,2
赤湾站,泥岗站,4
赤湾站,园岭站,13
赤湾站,碧头站,14
赤湾站,银湖站,1
赤湾站,塘尾站,14
赤湾站,水贝站,7
赤湾站,深康站,14
赤湾站,清湖站,39
赤湾站,深大站,43
赤湾站,深圳北站,84
赤湾站,水湾站,433
赤湾站,湾厦站,97
赤湾站,爱联站,7
赤湾站,田贝站,3
赤湾站,燕南站,16
赤湾站,登良站,193
赤湾站,灵芝站,18
赤湾站,留仙洞站,7
赤湾站,海月站,130
赤湾站,洪浪北站,8
赤湾站,永湖站,3
赤湾站,海上世界站,236
赤湾站,机场东站,6
赤湾站,新秀站,8
赤湾站,晒布站,9
赤湾站,桃园站,32
赤湾站,景田站,57
赤湾站,杨美站,10
赤湾站,木棉湾站,4
赤湾站,岗厦北站,25
赤湾站,宝安中心站,19
赤湾站,宝华站,2
赤湾站,大学城站,14
赤湾站,大剧院站,72
赤湾站,塘朗站,18
赤湾站,通新岭站,6
赤湾站,吉祥站,2
赤湾站,塘坑站,11
赤湾站,南联站,12
赤湾站,双龙站,18
赤湾站,大新站,46
赤湾站,后海站,225
赤湾站,莲花西站,27
赤湾站,莲花村站,7
赤湾站,翠竹站,16
赤湾站,荷坳站,11
赤湾站,老街站,25
赤湾站,莲花北站,5
赤湾站,翻身站,25
赤湾站,红树湾站,36
赤湾站,罗湖站,50
赤湾站,白石龙站,19
赤湾站,百鸽笼站,6
赤湾站,白石洲站,39
赤湾站,华侨城站,13
赤湾站,丹竹头站,9
赤湾站,东角头站,421
赤湾站,下水径站,12
赤湾站,侨城东站,44
赤湾站,湖贝站,28
赤湾站,华强北站,30
赤湾站,世界之窗站,174
赤湾站,侨城北站,101
赤湾站,六约站,32
赤湾站,会展中心站,30
赤湾站,侨香站,36
赤湾站,兴东站,19
赤湾站,华新站,4
赤湾站,五和站,31
赤湾站,上水径站,7
赤湾站,国贸站,24
赤湾站,固戍站,41
赤湾站,后瑞站,10
赤湾站,福永站,40
赤湾站,南山站,60
赤湾站,机场站,23
赤湾站,碧海湾站,46
赤湾站,宝安站,14
赤湾站,桥头站,26
赤湾站,香蜜湖站,18
赤湾站,鲤鱼门站,46
赤湾站,大芬站,22
赤湾站,太安站,6
赤湾站,大运站,4
赤湾站,福田口岸站,14
赤湾站,竹子林站,82
赤湾站,福田站,82
赤湾站,红山站,9
赤湾站,科学馆站,12
赤湾站,科苑站,394
赤湾站,红岭站,5
赤湾站,上梅林站,21
赤湾站,高新园站,102
赤湾站,香蜜站,18
赤湾站,安托山站,6
赤湾站,坂田站,14
赤湾站,福民站,13
赤湾站,少年宫站,20
赤湾站,岗厦站,28
赤湾站,坪洲站,34
赤湾站,宝体站,13
赤湾站,市民中心站,27
赤湾站,益田站,28
赤湾站,石厦站,22
赤湾站,布吉站,35
赤湾站,上塘站,23
赤湾站,深圳湾公园站,16
赤湾站,民治站,19
赤湾站,怡景站,6
赤湾站,民乐站,15
赤湾站,布心站,7
赤湾站,横岗站,8
赤湾站,新安站,9
赤湾站,蛇口港站,66
长岭陂站,车公庙站,24
长岭陂站,购物公园站,8
长岭陂站,西丽站,222
长岭陂站,西乡站,50
长岭陂站,长龙站,145
长岭陂站,草埔站,40
长岭陂站,龙井站,22
长岭陂站,龙城广场站,22
长岭陂站,珠光站,30
长岭陂站,龙华站,176
长岭陂站,沙尾站,14
长岭陂站,上沙站,6
长岭陂站,农林站,20
长岭陂站,桃源村站,47
长岭陂站,皇岗口岸站,1
长岭陂站,西丽湖站,5
长岭陂站,深云站,20
长岭陂站,茶光站,24
长岭陂站,华强路站,14
长岭陂站,龙胜站,218
长岭陂站,黄贝岭站,80
长岭陂站,红树湾南站,2
长岭陂站,红岭北站,10
长岭陂站,笋岗站,23
长岭陂站,赤尾站,7
长岭陂站,洪湖站,13
长岭陂站,华强南站,1
