NO,STATION_ID,IN_FLOW,OUT_FLOW,TOTAL_FLOW,ZDMC,LineNO,StopOrder
1,GDZD000054,13036,12768,25804,机场东站,1,1
2,GDZD000025,18400,17935,36335,后瑞站,1,2
3,GDZD000026,45250,47282,92532,固戍站,1,3
4,GDZD000101,32848,31749,64597,西乡站,1,4
5,GDZD000029,52240,54713,106953,坪洲站,1,5
6,GDZD000039,15363,15636,30999,宝体站,1,6
7,GDZD000041,26740,28220,54960,宝安中心站,1,7
8,GDZD000049,9336,8783,18119,新安站,1,8
9,GDZD000016,3395,3579,6974,前海湾站,1,9
10,GDZD000112,14423,13892,28315,鲤鱼门站,1,10
11,GDZD000034,30661,29665,60326,大新站,1,11
12,GDZD000056,31282,31170,62452,桃园站,1,12
13,GDZD000067,57660,57922,115582,深大站,1,13
14,GDZD000111,64823,68131,132954,高新园站,1,14
15,GDZD000077,31156,28857,60013,白石洲站,1,15
16,GDZD000004,33059,32346,65405,世界之窗站,1,16
17,GDZD000017,10118,9604,19722,华侨城站,1,17
18,GDZD000011,13263,13535,26798,侨城东站,1,18
19,GDZD000087,19690,18878,38568,竹子林站,1,19
20,GDZD000104,76801,76254,153055,车公庙站,1,20
21,GDZD000109,8149,8419,16568,香蜜湖站,1,21
22,GDZD000102,37497,38860,76357,购物公园站,1,22
23,GDZD000010,52966,55862,108828,会展中心站,1,23
24,GDZD000044,35397,32579,67976,岗厦站,1,24
25,GDZD000117,38525,39949,78474,华强路站,1,25
26,GDZD000085,27549,28103,55652,科学馆站,1,26
27,GDZD000032,58529,61121,119650,大剧院站,1,27
28,GDZD000094,53565,57194,110759,老街站,1,28
29,GDZD000027,32135,35684,67819,国贸站,1,29
30,GDZD000091,46566,43127,89693,罗湖站,1,30
31,GDZD000103,2675,2895,5570,赤湾站,2,1
32,GDZD000099,6018,5207,11225,蛇口港站,2,2
33,GDZD000064,8507,8429,16936,海上世界站,2,3
34,GDZD000060,11493,13031,24524,水湾站,2,4
35,GDZD000005,13373,12989,26362,东角头站,2,5
36,GDZD000070,7194,7127,14321,湾厦站,2,6
37,GDZD000065,13182,12958,26140,海月站,2,7
38,GDZD000076,15083,15138,30221,登良站,2,8
39,GDZD000024,47828,48637,96465,后海站,2,9
40,GDZD000086,33534,33903,67437,科苑站,2,10
41,GDZD000090,4505,4355,8860,红树湾站,2,11
42,GDZD000004,33059,32346,65405,世界之窗站,2,12
43,GDZD000012,10624,10538,21162,侨城北站,2,13
44,GDZD000068,4620,4606,9226,深康站,2,14
45,GDZD000038,4322,4587,8909,安托山站,2,15
46,GDZD000013,12470,12007,24477,侨香站,2,16
47,GDZD000110,4614,4328,8942,香蜜站,2,17
48,GDZD000108,8723,8492,17215,香梅北站,2,18
49,GDZD000052,31104,31007,62111,景田站,2,19
50,GDZD000098,11127,10950,22077,莲花西站,2,20
51,GDZD000084,40123,40926,81049,福田站,2,21
52,GDZD000045,18692,19107,37799,市民中心站,2,22
53,GDZD000043,14434,13851,28285,岗厦北站,2,23
54,GDZD000018,44608,50723,95331,华强北站,2,24
55,GDZD000072,13889,14251,28140,燕南站,2,25
56,GDZD000032,58529,61121,119650,大剧院站,2,26
57,GDZD000006,20904,22191,43095,湖贝站,2,27
58,GDZD000113,36571,37542,74113,黄贝岭站,2,28
59,GDZD000050,10896,10673,21569,新秀站,2,29
60,GDZD000080,24007,22981,46988,益田站,3,1
61,GDZD000081,27669,28636,56305,石厦站,3,2
62,GDZD000102,37497,38860,76357,购物公园站,3,3
63,GDZD000084,40123,40926,81049,福田站,3,4
64,GDZD000042,24395,23408,47803,少年宫站,3,5
65,GDZD000097,11686,10712,22398,莲花村站,3,6
66,GDZD000019,26878,26500,53378,华新站,3,7
67,GDZD000023,12989,12581,25570,通新岭站,3,8
68,GDZD000089,16521,16530,33051,红岭站,3,9
69,GDZD000094,53565,57194,110759,老街站,3,10
70,GDZD000051,20781,19805,40586,晒布站,3,11
71,GDZD000092,22530,22469,44999,翠竹站,3,12
72,GDZD000074,22996,22541,45537,田贝站,3,13
73,GDZD000061,10843,11002,21845,水贝站,3,14
74,GDZD000107,22133,21435,43568,草埔站,3,15
75,GDZD000046,48570,47666,96236,布吉站,3,16
76,GDZD000053,22647,22634,45281,木棉湾站,3,17
77,GDZD000035,29044,29828,58872,大芬站,3,18
78,GDZD000008,40037,38173,78210,丹竹头站,3,19
79,GDZD000014,16612,15925,32537,六约站,3,20
80,GDZD000030,16907,17984,34891,塘坑站,3,21
81,GDZD000057,27002,27101,54103,横岗站,3,22
82,GDZD000062,7862,7376,15238,永湖站,3,23
83,GDZD000095,10465,10232,20697,荷坳站,3,24
84,GDZD000036,13389,13456,26845,大运站,3,25
85,GDZD000073,15678,15446,31124,爱联站,3,26
86,GDZD000022,13495,13995,27490,吉祥站,3,27
87,GDZD000115,14463,15013,29476,龙城广场站,3,28
88,GDZD000020,15474,16057,31531,南联站,3,29
89,GDZD000021,24065,23093,47158,双龙站,3,30
90,GDZD000083,36301,37064,73365,福田口岸站,4,1
91,GDZD000082,31950,32622,64572,福民站,4,2
92,GDZD000010,52966,55862,108828,会展中心站,4,3
93,GDZD000045,18692,19107,37799,市民中心站,4,4
94,GDZD000042,24395,23408,47803,少年宫站,4,5
95,GDZD000096,14792,14965,29757,莲花北站,4,6
96,GDZD000001,39643,41116,80759,上梅林站,4,7
97,GDZD000058,23365,23075,46440,民乐站,4,8
98,GDZD000078,30821,31943,62764,白石龙站,4,9
99,GDZD000066,78923,73182,152105,深圳北站,4,10
100,GDZD000088,20168,20699,40867,红山站,4,11
101,GDZD000000,20017,20326,40343,上塘站,4,12
102,GDZD000116,36626,36099,72725,龙胜站,4,13
103,GDZD000114,40787,41604,82391,龙华站,4,14
